rent,manuf,model,end
D1_T7,Iveco,Daily,2022-01-18 15:22:22
D1_T1,Iveco,Daily,2022-01-18 15:17:41
D1_T2,Fiat,Ducato,2022-01-18 15:17:17
D1_T9,Iveco,Daily,2022-01-18 15:24:03
D1_T3,Iveco,Daily,2022-01-18 15:20:43
D1_T5,Fiat,Ducato,2022-01-18 15:17:04
D1_T6,Iveco,Daily,2022-01-18 15:22:36
D1_T11,Iveco,Daily,2022-01-18 15:25:05
D2_19,Mercedes,Vito,2022-01-18 15:13:13
D2_7,Mercedes,Vito,2022-01-18 15:13:13
D2_8,Mercedes,Vito,2022-01-18 15:13:13
D2_8,Mercedes,Vito,2022-01-18 15:39:22
D2_13,Mercedes,Vito,2022-01-18 15:40:22
D2_13,Mercedes,Vito,2022-01-18 15:13:13
D2_9,Mercedes,Citan,2022-01-18 15:13:13
D2_9,Mercedes,Citan,2022-01-18 15:40:44
D2_15,Mercedes,Citan,2022-01-18 15:13:13
D2_7,Mercedes,Vito,2022-01-18 15:42:05
